PassengerId,Survived,Pclass,SibSp,Parch,Ticket,Fare,Embarked,AgeCleaned,CabinCleaned,genderCleaned,Last_Name,Title,First_Name
1,0,3,1,0,A/5 21171,7.25,S,22,Not Specified,Male,Braund,Mr., Owen Harris
2,1,1,1,0,PC 17599,71.28330231,C,38,C85,Female,Cumings,Mrs., John Bradley (Florence Briggs Thayer)
3,1,3,0,0,STON/O2. 3101282,7.925000191,S,26,Not Specified,Female,Heikkinen,Miss., Laina
4,1,1,1,0,113803,53.09999847,S,35,C123,Female,Futrelle,Mrs., Jacques Heath (Lily May Peel)
5,0,3,0,0,373450,8.050000191,S,35,Not Specified,Male,Allen,Mr., William Henry
6,0,3,0,0,330877,8.458299637,Q,29.7,Not Specified,Male,Moran,Mr., James
7,0,1,0,0,17463,51.86249924,S,54,E46,Male,McCarthy,Mr., Timothy J
8,0,3,3,1,349909,21.07500076,S,2,Not Specified,Male,Palsson,Master., Gosta Leonard
9,1,3,0,2,347742,11.13329983,S,27,Not Specified,Female,Johnson,Mrs., Oscar W (Elisabeth Vilhelmina Berg)
10,1,2,1,0,237736,30.07080078,C,14,Not Specified,Female,Nasser,Mrs., Nicholas (Adele Achem)
11,1,3,1,1,PP 9549,16.70000076,S,4,G6,Female,Sandstrom,Miss., Marguerite Rut
12,1,1,0,0,113783,26.54999924,S,58,C103,Female,Bonnell,Miss., Elizabeth
13,0,3,0,0,A/5. 2151,8.050000191,S,20,Not Specified,Male,Saundercock,Mr., William Henry
14,0,3,1,5,347082,31.27499962,S,39,Not Specified,Male,Andersson,Mr., Anders Johan
15,0,3,0,0,350406,7.854199886,S,14,Not Specified,Female,Vestrom,Miss., Hulda Amanda Adolfina
16,1,2,0,0,248706,16,S,55,Not Specified,Female,Hewlett,Mrs., (Mary D Kingcome) 
17,0,3,4,1,382652,29.125,Q,2,Not Specified,Male,Rice,Master., Eugene
18,1,2,0,0,244373,13,S,29.7,Not Specified,Male,Williams,Mr., Charles Eugene
19,0,3,1,0,345763,18,S,31,Not Specified,Female,Vander Planke,Mrs., Julius (Emelia Maria Vandemoortele)
20,1,3,0,0,2649,7.224999905,C,29.7,Not Specified,Female,Masselmani,Mrs., Fatima
21,0,2,0,0,239865,26,S,35,Not Specified,Male,Fynney,Mr., Joseph J
22,1,2,0,0,248698,13,S,34,D56,Male,Beesley,Mr., Lawrence
23,1,3,0,0,330923,8.0291996,Q,15,Not Specified,Female,McGowan,Miss.," Anna ""Annie"""
24,1,1,0,0,113788,35.5,S,28,A6,Male,Sloper,Mr., William Thompson
25,0,3,3,1,349909,21.07500076,S,8,Not Specified,Female,Palsson,Miss., Torborg Danira
26,1,3,1,5,347077,31.38750076,S,38,Not Specified,Female,Asplund,Mrs., Carl Oscar (Selma Augusta Emilia Johansson)
27,0,3,0,0,2631,7.224999905,C,29.7,Not Specified,Male,Emir,Mr., Farred Chehab
28,0,1,3,2,19950,263,S,19,C23 C25 C27,Male,Fortune,Mr., Charles Alexander
29,1,3,0,0,330959,7.879199982,Q,29.7,Not Specified,Female,O'Dwyer,Miss.," Ellen ""Nellie"""
30,0,3,0,0,349216,7.895800114,S,29.7,Not Specified,Male,Todoroff,Mr., Lalio
31,0,1,0,0,PC 17601,27.7208004,C,40,Not Specified,Male,Uruchurtu,Don., Manuel E
32,1,1,1,0,PC 17569,146.5207977,C,29.7,B78,Female,Spencer,Mrs., William Augustus (Marie Eugenie)
33,1,3,0,0,335677,7.75,Q,29.7,Not Specified,Female,Glynn,Miss., Mary Agatha
34,0,2,0,0,C.A. 24579,10.5,S,66,Not Specified,Male,Wheadon,Mr., Edward H
35,0,1,1,0,PC 17604,82.17079926,C,28,Not Specified,Male,Meyer,Mr., Edgar Joseph
36,0,1,1,0,113789,52,S,42,Not Specified,Male,Holverson,Mr., Alexander Oskar
37,1,3,0,0,2677,7.229199886,C,29.7,Not Specified,Male,Mamee,Mr., Hanna
38,0,3,0,0,A./5. 2152,8.050000191,S,21,Not Specified,Male,Cann,Mr., Ernest Charles
39,0,3,2,0,345764,18,S,18,Not Specified,Female,Vander Planke,Miss., Augusta Maria
40,1,3,1,0,2651,11.24170017,C,14,Not Specified,Female,Nicola-Yarred,Miss., Jamila
41,0,3,1,0,7546,9.475000381,S,40,Not Specified,Female,Ahlin,Mrs., Johan (Johanna Persdotter Larsson)
42,0,2,1,0,11668,21,S,27,Not Specified,Female,Turpin,Mrs., William John Robert (Dorothy Ann Wonnacott)
43,0,3,0,0,349253,7.895800114,C,29.7,Not Specified,Male,Kraeff,Mr., Theodor
44,1,2,1,2,SC/Paris 2123,41.57920074,C,3,Not Specified,Female,Laroche,Miss., Simonne Marie Anne Andree
45,1,3,0,0,330958,7.879199982,Q,19,Not Specified,Female,Devaney,Miss., Margaret Delia
46,0,3,0,0,S.C./A.4. 23567,8.050000191,S,29.7,Not Specified,Male,Rogers,Mr., William John
47,0,3,1,0,370371,15.5,Q,29.7,Not Specified,Male,Lennon,Mr., Denis
48,1,3,0,0,14311,7.75,Q,29.7,Not Specified,Female,O'Driscoll,Miss., Bridget
